,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
2022,Contabilizei,https://www.crunchbase.com/organization/contabilizei-contabilidade-online,Series A - Contabilizei,https://www.crunchbase.com/funding_round/contabilizei-contabilidade-online-series-a--b3105ec7,80050000.0,USD,80050000.0,Series A,"Accounting, Financial Services, FinTech, Information Technology, SaaS",2016-09-21,"Igah Ventures, Kaszek","Endeavor Catalyst, Igah Ventures, Kaszek",Early Stage Venture,,,,,,,Yes,"Contabilizei is a financial back-office platform for SMBs providing business formation, tax filing and accounting.",,https://www.contabilizei.com.br,$100M to $500M,Late Stage Venture,8,"Curitiba, Parana, Brazil, South America"
2023,Bio Ritmo,https://www.crunchbase.com/organization/bio-ritmo,Private Equity Round - Bio Ritmo,https://www.crunchbase.com/funding_round/bio-ritmo-private-equity--0c1d3cc9,100000000.0,BRL,30677463.0,Private Equity,Fitness,2016-09-20,,Patria Investments,Private Equity,100000000.0,BRL,30677462.0,,,,Yes,Bio Ritmo operates in the fitness market ensuring quality service and high-value to its customers.,,http://www.bioritmo.com.br,$500M to $1B,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America"
2024,Sontra,https://www.crunchbase.com/organization/sontra,Series B - Sontra,https://www.crunchbase.com/funding_round/sontra-series-b--6c935166,22486140.0,USD,22486140.0,Series B,"Customer Service, Logistics, Transportation",2016-09-20,,CSC Upshot,Early Stage Venture,,,,,,,Yes,SontraCargo is used by major shipping companies and truck drivers to find available trucks or freight.,,http://www.sontracargo.com.br/,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America"
2025,Vindi,https://www.crunchbase.com/organization/vindi,Seed Round - Vindi,https://www.crunchbase.com/funding_round/vindi-seed--02c827c7,9943765.0,USD,9943765.0,Seed,"Billing, E-Commerce, Financial Services, FinTech, Payments, SaaS, Software, Subscription Service",2016-09-14,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2","Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",Seed,1800000.0,BRL,540601.0,,,,Yes,Vindi is an online payment platform (PCI certified) that focuses on subscription and recurring billing.,,http://www.vindi.com.br,$1M to $10M,M&A,9,"São Paulo, Sao Paulo, Brazil, South America"
2026,FHITS TV,https://www.crunchbase.com/organization/fhits-tv,Venture Round - FHITS TV,https://www.crunchbase.com/funding_round/fhits-tv-series-unknown--b2576b7e,,USD,,Venture - Series Unknown,"Blogging Platforms, Fashion",2016-09-13,,Webrock Ventures,,,,,,,,Yes,FHITS TV is the first lifestyle fashion blogging platform.,,http://www.fhits.tv/,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2027,33e34 Shoes,https://www.crunchbase.com/organization/33e34,Pre Seed Round - 33e34 Shoes,https://www.crunchbase.com/funding_round/33e34-pre-seed--665e6caf,2500000.0,BRL,752455.0,Pre-Seed,"E-Commerce, Fashion, Internet, Retail",2016-09-13,,Bossanova Investimentos,Seed,1500000.0,BRL,453670.0,,,,Yes,"33e34 Shoes is a Brazilian startup that offers the best selection in shoes in terms of brands, styles and colors.",,http://www.33e34.com.br/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2028,aceitaFacil Pagamentos,https://www.crunchbase.com/organization/aceitafacil-pagamentos,Funding Round - aceitaFacil Pagamentos,https://www.crunchbase.com/funding_round/aceitafacil-pagamentos-undisclosed--dd2021b4,,USD,,Funding Round,"Payments, Software, Subscription Service",2016-09-12,,Vindi,,,,,,,,Yes,aceitaFacil Pagamentos offers web and mobile payment services for entrepreneurs.,,http://aceitafacil.com,,M&A,1,"São Paulo, Sao Paulo, Brazil, South America"
2029,VisionX,https://www.crunchbase.com/organization/visionx-2,Seed Round - VisionX,https://www.crunchbase.com/funding_round/visionx-2-seed--ef2be33e,125000.0,USD,125000.0,Seed,"Financial Services, Insurance, Software",2016-09-09,500 Global,500 Global,Seed,125000.0,USD,125000.0,,,,Yes,"VisionX is a distribution system for insurance products, enabling any point-of-sale to sell insurance products.",,http://www.visionx.co,Less than $1M,Seed,1,"Pinheiros, Sao Paulo, Brazil, South America"
2030,TaCerto.com,https://www.crunchbase.com/organization/taclaro-com,Seed Round - TaCerto.com,https://www.crunchbase.com/funding_round/taclaro-com-seed--fd12fdfe,4125000.0,USD,4125000.0,Seed,"E-Commerce, Financial Services, Insurance, Price Comparison",2016-09-09,,500 Global,Seed,125000.0,USD,125000.0,,,,Yes,TaCerto.com is an online insurance broker that provides financial planning services to its customers.,,http://www.tacerto.com,Less than $1M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America"
2031,BizCapital,https://www.crunchbase.com/organization/bizcapital-2,Pre Seed Round - BizCapital,https://www.crunchbase.com/funding_round/bizcapital-2-pre-seed--66862af8,25222895.0,USD,25222895.0,Pre-Seed,"Banking, Credit, Financial Services, FinTech, Lending, Small and Medium Businesses",2016-09-06,monashees,monashees,Seed,,,,,,,Yes,BizCapital provides SMEs with fast and secure online working capital loans.,,http://bizcapital.com.br/,$10M to $50M,Early Stage Venture,6,"Botafogo, Rio de Janeiro, Brazil, South America"
2032,FindUP,https://www.crunchbase.com/organization/find-up,Pre Seed Round - FindUP,https://www.crunchbase.com/funding_round/find-up-pre-seed--2d585f05,5600000.0,BRL,1061970.0,Pre-Seed,"Big Data, Information Technology, Internet, Internet of Things, IT Infrastructure, Sharing Economy, Software",2016-09-01,,,Seed,600000.0,BRL,184529.0,3400000.0,BRL,1045666.0,Yes,FindUP offers companies with a large geographic distribution with a platform that features information technology support.,,http://findup.com.br/,$1M to $10M,Seed,3,"São Paulo, Sao Paulo, Brazil, South America"
2033,Razoom,https://www.crunchbase.com/organization/razoom-2,Pre Seed Round - Razoom,https://www.crunchbase.com/funding_round/razoom-2-pre-seed--d7da66db,,USD,,Pre-Seed,"Apps, SaaS, Travel",2016-09-01,,Bossanova Investimentos,Seed,,,,,,,Yes,Razoom is an integrated mobile application for tour operators to manage all related activities and receive online payments.,,http://www.razoom.com.br/,,Seed,2,"Botafogo, Rio de Janeiro, Brazil, South America"
2034,MELHOR ENVIO,https://www.crunchbase.com/organization/melhor-envio,Non Equity Assistance - MELHOR ENVIO,https://www.crunchbase.com/funding_round/melhor-envio-non-equity-assistance--707c3b89,620000.0,BRL,194615.0,Non-equity Assistance,"E-Commerce, Freight Service, Logistics",2016-09-01,,SEBRAE - RS,,120000.0,BRL,36905.0,,,,No,"Melhor Envio is the logistics gateway for e-commerce, bringing more competitiveness to small virtual stores on the internet",,https://www.melhorenvio.com.br,,M&A,5,"Pelotas, Rio Grande do Sul, Brazil, South America"
2035,NAZAR,https://www.crunchbase.com/organization/nazar,Pre Seed Round - NAZAR,https://www.crunchbase.com/funding_round/nazar-pre-seed--96f00d0c,422500.0,USD,422500.0,Pre-Seed,"Analytics, Big Data, Database, Enterprise Software, Information Technology, SaaS, Software",2016-09-01,,Wayra,Seed,42500.0,USD,42500.0,,,,Yes,"We help companies to keep their database applications running fast and reducing costs. Data, performance and cost savings taken seriously.",,https://nazar.ai/,Less than $1M,Seed,5,"Pernambuco, Pernambuco, Brazil, South America"
2036,In Forma Software,https://www.crunchbase.com/organization/in-forma-software,Seed Round - In Forma Software,https://www.crunchbase.com/funding_round/in-forma-software-seed--31066841,6000000.0,BRL,1827010.0,Seed,"Computer, Electrical Distribution, Electronics, Energy, Logistics, Software",2016-09-01,Crescera Investimentos (f/k/a Bozano Investimentos),"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",Seed,2500000.0,BRL,768872.0,,,,Yes,In Forma Software develops software solutions for energy sector.,,http://www.informa.com.br/,$100M to $500M,Seed,2,"Recife, Bahia, Brazil, South America"
2037,Oncase,https://www.crunchbase.com/organization/oncase,Seed Round - Oncase,https://www.crunchbase.com/funding_round/oncase-seed--84ad064b,2500000.0,BRL,768873.0,Seed,"Big Data, Information Technology, Marketing, Software",2016-09-01,Crescera Investimentos (f/k/a Bozano Investimentos),Crescera Investimentos (f/k/a Bozano Investimentos),Seed,2500000.0,BRL,768872.0,,,,Yes,OnCase specializes in business intelligence and business management through the use of market leading tools.,,https://oncase.com.br/,$1M to $10M,Seed,2,"Recife, Bahia, Brazil, South America"
2038,Parafuzo.com,https://www.crunchbase.com/organization/parafuzo-com,Seed Round - Parafuzo.com,https://www.crunchbase.com/funding_round/parafuzo-com-seed--f12cf3bd,,USD,,Seed,"Internet, Mobile Apps, Service Industry",2016-09-01,,"GE32 Capital, Leonardo Teixeira",Seed,,,,,,,Yes,Parafuzo is a mobile application that enables its uses to hire licensed professional laborers.,,https://www.parafuzo.com,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2039,Agro Pecuária Nova Louzã S/A,https://www.crunchbase.com/organization/agro-pecuária-nova-louzã-s-a,Venture Round - Agro Pecuária Nova Louzã S/A,https://www.crunchbase.com/funding_round/agro-pecuária-nova-louzã-s-a-series-unknown--45aaaf5c,,USD,,Venture - Series Unknown,Food Processing,2016-09-01,,Cordiant Capital,,,,,,,,Yes,"Agro Pecuária Nova Louzã S/A engages in the manufacture and sale of sugar, alcohol, and other bi-products from sugar cane.",,,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2040,Mopix Games,https://www.crunchbase.com/organization/mopix-games,Seed Round - Mopix Games,https://www.crunchbase.com/funding_round/mopix-games-seed--3e1fb25d,25000.0,USD,25000.0,Seed,"Computer, Gaming, Software",2016-09-01,,GameFounders,Seed,25000.0,USD,25000.0,,,,Yes,Mopix Games is an independent game developer focused at mobile platforms.,,http://www.mopix.com.br/,$1M to $10M,Seed,1,"Minas Gerais, Acre, Brazil, South America"
2041,Me Passa Aí,https://www.crunchbase.com/organization/me-passa-aí,Equity Crowdfunding - Me Passa Aí,https://www.crunchbase.com/funding_round/me-passa-aí-equity-crowdfunding--35d56c47,250000.0,BRL,77421.0,Equity Crowdfunding,"Digital Media, E-Learning, EdTech, Education, Higher Education, STEM Education, Video",2016-08-31,EqSeed,EqSeed,,250000.0,BRL,77421.0,,,,Yes,Me Passa Aí produces educational videos for Brazilian university students.,,https://mepassaai.com.br/,,,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
2042,WeCare Incentivos Corporativos,https://www.crunchbase.com/organization/wecare-incentivos-corporativos,Seed Round - WeCare Incentivos Corporativos,https://www.crunchbase.com/funding_round/wecare-incentivos-corporativos-seed--ccb74780,125000.0,BRL,38711.0,Seed,"Business Information Systems, Corporate Training, Human Resources, Information Technology",2016-08-31,,Cotidiano,Seed,125000.0,BRL,38710.0,,,,Yes,WeCare Corporate Incentives aims to increase the motivation and engagement of the workforce of companies.,,https://www.sejawecare.com.br/,Less than $1M,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America"
2043,Nutrieduc,https://www.crunchbase.com/organization/nutrieduc,Seed Round - Nutrieduc,https://www.crunchbase.com/funding_round/nutrieduc-seed--4bdcf10f,97385.0,BRL,30159.0,Seed,"Apps, Nutrition",2016-08-31,,Cotidiano,Seed,97385.0,BRL,30158.0,,,,Yes,Nutrieduc is a multiplatform management app featuring support solutions and nutritional education programs for its users.,,https://nutrieduc.com.br,,Seed,1,"Curitiba, Parana, Brazil, South America"
2044,Knightly,https://www.crunchbase.com/organization/knightly,Angel Round - Knightly,https://www.crunchbase.com/funding_round/knightly-angel--45e980ff,20000.0,USD,20000.0,Angel,,2016-08-30,,IDEA: Northeastern University's Venture Accelerator,Seed,10000.0,USD,10000.0,,,,Yes,developing things you can count on!,,https://www.knightly.com.br,,Seed,2,"Barbacena, Minas Gerais, Brazil, South America"
2045,DogHero,https://www.crunchbase.com/organization/doghero,Seed Round - DogHero,https://www.crunchbase.com/funding_round/doghero-seed--8075040a,12550000.0,USD,12550000.0,Seed,"Health Care, Internet, Pet, Software",2016-08-29,monashees,monashees,Seed,3100000.0,USD,3100000.0,,,,Yes,DogHero offers solutions for dog owners to find a walk and pet-hosting services.,,https://www.doghero.com.br,$1M to $10M,M&A,5,"São Paulo, Sao Paulo, Brazil, South America"
2046,ROBOS.im,https://www.crunchbase.com/organization/robos-im,Pre Seed Round - ROBOS.im,https://www.crunchbase.com/funding_round/robos-im-pre-seed--ffeb8ae5,,USD,,Pre-Seed,"Artificial Intelligence (AI), Digital Marketing, Information Technology, Machine Learning, Natural Language Processing",2016-08-29,,Bossanova Investimentos,Seed,,,,,,,Yes,ROBOS.im focused in delivering products that solve Natural Processing Language (NLP) and Machine Learning (ML) issues.,,http://www.robos.im/,,M&A,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
2047,RankMyApp,https://www.crunchbase.com/organization/rankmyapp,Pre Seed Round - RankMyApp,https://www.crunchbase.com/funding_round/rankmyapp-pre-seed--b155d4f2,3500000.0,USD,3500000.0,Pre-Seed,"Analytics, App Marketing, Artificial Intelligence (AI), Computer, Internet, Marketing, Mobile, Mobile Apps, Software",2016-08-26,,Bossanova Investimentos,Seed,,,,,,,Yes,ankMyApp offers data intelligence and user acquisition campaigns for mobile apps.,,http://www.rankmyapp.com/,Less than $1M,,7,"São Paulo, Sao Paulo, Brazil, South America"
2048,EasyPost Smart Terminals,https://www.crunchbase.com/organization/easypost-smart-terminals,Private Equity Round - EasyPost Smart Terminals,https://www.crunchbase.com/funding_round/easypost-smart-terminals-private-equity--718c778b,6000000.0,USD,6000000.0,Private Equity,"Delivery Service, E-Commerce, Freight Service, Logistics, Packaging Services, Software Engineering",2016-08-25,,,Private Equity,6000000.0,USD,6000000.0,33000000.0,USD,33000000.0,Yes,EasyPost Smart is a self-service postal terminal network for sending and receiving orders.,,http://www.easypost.com.br,,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America"
2049,Brazil Tower Company,https://www.crunchbase.com/organization/brazil-tower-company,Venture Round - Brazil Tower Company,https://www.crunchbase.com/funding_round/brazil-tower-company-series-unknown--fa135068,120660000.0,USD,120660000.0,Venture - Series Unknown,"Broadcasting, Communications Infrastructure, Internet, Mobile, Telecommunications, Wireless",2016-08-24,Silver Swan,Silver Swan,,40000000.0,USD,40000000.0,,,,Yes,"Brazil Tower Company constructs, develops, owns, and leases wireless and broadcast communication towers.",,http://braziltowercompany.com,$100M to $500M,,3,"São Paulo, Sao Paulo, Brazil, South America"
2050,Quero Education,https://www.crunchbase.com/organization/quero-education,Seed Round - Quero Education,https://www.crunchbase.com/funding_round/quero-education-seed--4929c287,,USD,,Seed,"Education, Higher Education, Marketplace, Software, Universities",2016-08-24,Y Combinator,"FundersClub, GE32 Capital, Y Combinator",Seed,,,,,,,Yes,Quero Education operates an online marketplace that connects students with schools in Brazil.,,http://querobolsa.com.br,$1M to $10M,Early Stage Venture,5,"São José Dos Campos, Sao Paulo, Brazil, South America"
2051,Digital Influencers,https://www.crunchbase.com/organization/digital-influencers,Non Equity Assistance - Digital Influencers,https://www.crunchbase.com/funding_round/digital-influencers-non-equity-assistance--647f694c,178000.0,BRL,55404.0,Non-equity Assistance,"Advertising, Digital Marketing, Marketing, Marketing Automation",2016-08-23,,Prefeitura Municipal de Fortaleza,,30000.0,BRL,9285.0,,,,No,Digital Influencers connects companies to the Digital Influencers perfect for the need of the brand.,,http://digitalinfluencers.com.br,$1M to $10M,M&A,3,"Fortaleza, Mato Grosso do Sul, Brazil, South America"
2052,Ahgora,https://www.crunchbase.com/organization/ahgora-sistemas,Private Equity Round - Ahgora,https://www.crunchbase.com/funding_round/ahgora-sistemas-private-equity--cb49023f,123000000.0,BRL,25297650.0,Private Equity,"Cloud Computing, Human Resources, Information Technology, Management Consulting, Software",2016-08-19,Invest Tech,Invest Tech,Private Equity,10000000.0,BRL,3118264.0,,,,Yes,Ahgora specializes in products and services for point of control of company management.,,http://www.ahgora.com.br/,Less than $1M,Private Equity,3,"Florianópolis, Santa Catarina, Brazil, South America"
2053,Bunee.io,https://www.crunchbase.com/organization/bunee-io,Pre Seed Round - Bunee.io,https://www.crunchbase.com/funding_round/bunee-io-pre-seed--7fd1f73f,,USD,,Pre-Seed,"Artificial Intelligence (AI), Human Resources, Recruiting",2016-08-16,,Bossanova Investimentos,Seed,,,,,,,Yes,Bunee.io is a recruitment platform that employs the power of artificial intelligence to find the best developers.,,https://bunee.io/,,,2,"São Paulo, Sao Paulo, Brazil, South America"
